1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D800000055DB0C21
Is Mission Active?  true
Mission Start:  Wed Sep 20 12:01:00 CEST 2023
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  696
Total Samples:  16785
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date,Time,Unit,Value
10/6/23, 1:01:00 PM,C,15.5
10/6/23, 2:01:00 PM,C,16
10/6/23, 3:01:00 PM,C,16
10/6/23, 4:01:00 PM,C,16
10/6/23, 5:01:00 PM,C,16
10/6/23, 6:01:00 PM,C,16.5
10/6/23, 7:01:00 PM,C,16.5
10/6/23, 8:01:00 PM,C,16
10/6/23, 9:01:00 PM,C,16
10/6/23, 10:01:00 PM,C,16
10/6/23, 11:01:00 PM,C,15.5
10/7/23, 12:01:00 AM,C,15.5
10/7/23, 1:01:00 AM,C,15
10/7/23, 2:01:00 AM,C,15
10/7/23, 3:01:00 AM,C,15
10/7/23, 4:01:00 AM,C,14.5
10/7/23, 5:01:00 AM,C,14.5
10/7/23, 6:01:00 AM,C,14.5
10/7/23, 7:01:00 AM,C,14.5
10/7/23, 8:01:00 AM,C,14
10/7/23, 9:01:00 AM,C,14
10/7/23, 10:01:00 AM,C,14
10/7/23, 11:01:00 AM,C,14.5
10/7/23, 12:01:00 PM,C,15
10/7/23, 1:01:00 PM,C,15.5
10/7/23, 2:01:00 PM,C,15.5
10/7/23, 3:01:00 PM,C,15.5
10/7/23, 4:01:00 PM,C,16
10/7/23, 5:01:00 PM,C,16
10/7/23, 6:01:00 PM,C,16
10/7/23, 7:01:00 PM,C,16
10/7/23, 8:01:00 PM,C,16
10/7/23, 9:01:00 PM,C,15.5
10/7/23, 10:01:00 PM,C,15.5
10/7/23, 11:01:00 PM,C,15.5
10/8/23, 12:01:00 AM,C,15
10/8/23, 1:01:00 AM,C,15
10/8/23, 2:01:00 AM,C,15
10/8/23, 3:01:00 AM,C,14.5
10/8/23, 4:01:00 AM,C,14.5
10/8/23, 5:01:00 AM,C,14.5
10/8/23, 6:01:00 AM,C,14.5
10/8/23, 7:01:00 AM,C,14
10/8/23, 8:01:00 AM,C,14
10/8/23, 9:01:00 AM,C,14
10/8/23, 10:01:00 AM,C,14
10/8/23, 11:01:00 AM,C,14.5
10/8/23, 12:01:00 PM,C,15
10/8/23, 1:01:00 PM,C,15.5
10/8/23, 2:01:00 PM,C,15.5
10/8/23, 3:01:00 PM,C,16
10/8/23, 4:01:00 PM,C,16
10/8/23, 5:01:00 PM,C,16
10/8/23, 6:01:00 PM,C,16.5
10/8/23, 7:01:00 PM,C,16.5
10/8/23, 8:01:00 PM,C,16.5
10/8/23, 9:01:00 PM,C,16
10/8/23, 10:01:00 PM,C,16
10/8/23, 11:01:00 PM,C,16
10/9/23, 12:01:00 AM,C,15.5
10/9/23, 1:01:00 AM,C,15.5
10/9/23, 2:01:00 AM,C,15.5
10/9/23, 3:01:00 AM,C,15
10/9/23, 4:01:00 AM,C,15
10/9/23, 5:01:00 AM,C,15
10/9/23, 6:01:00 AM,C,15
10/9/23, 7:01:00 AM,C,15
10/9/23, 8:01:00 AM,C,14.5
10/9/23, 9:01:00 AM,C,14.5
10/9/23, 10:01:00 AM,C,14.5
10/9/23, 11:01:00 AM,C,15
10/9/23, 12:01:00 PM,C,15.5
10/9/23, 1:01:00 PM,C,16
10/9/23, 2:01:00 PM,C,16
10/9/23, 3:01:00 PM,C,16.5
10/9/23, 4:01:00 PM,C,16.5
10/9/23, 5:01:00 PM,C,16.5
10/9/23, 6:01:00 PM,C,16.5
10/9/23, 7:01:00 PM,C,17
10/9/23, 8:01:00 PM,C,16.5
10/9/23, 9:01:00 PM,C,16.5
10/9/23, 10:01:00 PM,C,16.5
10/9/23, 11:01:00 PM,C,16
10/10/23, 12:01:00 AM,C,16
10/10/23, 1:01:00 AM,C,16
10/10/23, 2:01:00 AM,C,16
10/10/23, 3:01:00 AM,C,15.5
10/10/23, 4:01:00 AM,C,15.5
10/10/23, 5:01:00 AM,C,15.5
10/10/23, 6:01:00 AM,C,15.5
10/10/23, 7:01:00 AM,C,15
10/10/23, 8:01:00 AM,C,15
10/10/23, 9:01:00 AM,C,15
10/10/23, 10:01:00 AM,C,15
10/10/23, 11:01:00 AM,C,15.5
10/10/23, 12:01:00 PM,C,15.5
10/10/23, 1:01:00 PM,C,16
10/10/23, 2:01:00 PM,C,16.5
10/10/23, 3:01:00 PM,C,16.5
10/10/23, 4:01:00 PM,C,16.5
10/10/23, 5:01:00 PM,C,16.5
10/10/23, 6:01:00 PM,C,17
10/10/23, 7:01:00 PM,C,17
10/10/23, 8:01:00 PM,C,16.5
10/10/23, 9:01:00 PM,C,16.5
10/10/23, 10:01:00 PM,C,16.5
10/10/23, 11:01:00 PM,C,16
10/11/23, 12:01:00 AM,C,16
10/11/23, 1:01:00 AM,C,16
10/11/23, 2:01:00 AM,C,15.5
10/11/23, 3:01:00 AM,C,15.5
10/11/23, 4:01:00 AM,C,15.5
10/11/23, 5:01:00 AM,C,15
10/11/23, 6:01:00 AM,C,15
10/11/23, 7:01:00 AM,C,15
10/11/23, 8:01:00 AM,C,15
10/11/23, 9:01:00 AM,C,14.5
10/11/23, 10:01:00 AM,C,15
10/11/23, 11:01:00 AM,C,15
10/11/23, 12:01:00 PM,C,15.5
10/11/23, 1:01:00 PM,C,16
10/11/23, 2:01:00 PM,C,16
10/11/23, 3:01:00 PM,C,16.5
10/11/23, 4:01:00 PM,C,16.5
10/11/23, 5:01:00 PM,C,16.5
10/11/23, 6:01:00 PM,C,16.5
10/11/23, 7:01:00 PM,C,16.5
10/11/23, 8:01:00 PM,C,16.5
10/11/23, 9:01:00 PM,C,16
10/11/23, 10:01:00 PM,C,16
10/11/23, 11:01:00 PM,C,16
10/12/23, 12:01:00 AM,C,15.5
10/12/23, 1:01:00 AM,C,15.5
10/12/23, 2:01:00 AM,C,15.5
10/12/23, 3:01:00 AM,C,15.5
10/12/23, 4:01:00 AM,C,15
10/12/23, 5:01:00 AM,C,15
10/12/23, 6:01:00 AM,C,15
10/12/23, 7:01:00 AM,C,14.5
10/12/23, 8:01:00 AM,C,14.5
10/12/23, 9:01:00 AM,C,14.5
10/12/23, 10:01:00 AM,C,14.5
10/12/23, 11:01:00 AM,C,15
10/12/23, 12:01:00 PM,C,15
10/12/23, 1:01:00 PM,C,15.5
10/12/23, 2:01:00 PM,C,16
10/12/23, 3:01:00 PM,C,16
10/12/23, 4:01:00 PM,C,16.5
10/12/23, 5:01:00 PM,C,16.5
10/12/23, 6:01:00 PM,C,16.5
10/12/23, 7:01:00 PM,C,16.5
10/12/23, 8:01:00 PM,C,16.5
10/12/23, 9:01:00 PM,C,16
10/12/23, 10:01:00 PM,C,16
10/12/23, 11:01:00 PM,C,16
10/13/23, 12:01:00 AM,C,15.5
10/13/23, 1:01:00 AM,C,15.5
10/13/23, 2:01:00 AM,C,15.5
10/13/23, 3:01:00 AM,C,15
10/13/23, 4:01:00 AM,C,15
10/13/23, 5:01:00 AM,C,15
10/13/23, 6:01:00 AM,C,14.5
10/13/23, 7:01:00 AM,C,14.5
10/13/23, 8:01:00 AM,C,14.5
10/13/23, 9:01:00 AM,C,14.5
10/13/23, 10:01:00 AM,C,14.5
10/13/23, 11:01:00 AM,C,14.5
10/13/23, 12:01:00 PM,C,15
10/13/23, 1:01:00 PM,C,15.5
10/13/23, 2:01:00 PM,C,16
10/13/23, 3:01:00 PM,C,16
10/13/23, 4:01:00 PM,C,16
10/13/23, 5:01:00 PM,C,16.5
10/13/23, 6:01:00 PM,C,16.5
10/13/23, 7:01:00 PM,C,16.5
10/13/23, 8:01:00 PM,C,16
10/13/23, 9:01:00 PM,C,16
10/13/23, 10:01:00 PM,C,15.5
10/13/23, 11:01:00 PM,C,15.5
10/14/23, 12:01:00 AM,C,15.5
10/14/23, 1:01:00 AM,C,15.5
10/14/23, 2:01:00 AM,C,15.5
10/14/23, 3:01:00 AM,C,15
10/14/23, 4:01:00 AM,C,15
10/14/23, 5:01:00 AM,C,15
10/14/23, 6:01:00 AM,C,15
10/14/23, 7:01:00 AM,C,15
10/14/23, 8:01:00 AM,C,15
10/14/23, 9:01:00 AM,C,15
10/14/23, 10:01:00 AM,C,15
10/14/23, 11:01:00 AM,C,15.5
10/14/23, 12:01:00 PM,C,15.5
